EN,EN_without_numbers,,FR_without_numbers,numbers,FR
5694-64038-0000 ADVANCE INTO TENNESSEE,ADVANCE INTO TENNESSEE,,Avancer dans le Tennessee,5694-64038-0000 ,5694-64038-0000 Avancer dans le Tennessee
5694-64038-0001 YANK SAYS WHAT YOU DOING JOHNNY,YANK SAYS WHAT YOU DOING JOHNNY,,Yank dit ce que tu fais Johnny,5694-64038-0001 ,5694-64038-0001 Yank dit ce que tu fais Johnny
5694-64038-0002 WE PASSED AROUND ATLANTA CROSSED THE CHATTAHOOCHEE AND TRAVELED BACK OVER THE SAME ROUTE ON WHICH WE HAD MADE THE ARDUOUS CAMPAIGN UNDER JOE JOHNSTON,WE PASSED AROUND ATLANTA CROSSED THE CHATTAHOOCHEE AND TRAVELED BACK OVER THE SAME ROUTE ON WHICH WE HAD MADE THE ARDUOUS CAMPAIGN UNDER JOE JOHNSTON,,Nous avons traversé Atlanta a traversé le Chattahoochee et avons voyagé sur le même itinéraire sur lequel nous avions fait la campagne ardue sous Joe Johnston,5694-64038-0002 ,5694-64038-0002 Nous avons traversé Atlanta a traversé le Chattahoochee et avons voyagé sur le même itinéraire sur lequel nous avions fait la campagne ardue sous Joe Johnston
5694-64038-0003 OUTSIDE OF THESE OCCASIONAL REMINDERS WE COULD SEE NO EVIDENCE OF THE DESOLATION OF THE TRACK OF AN INVADING ARMY,OUTSIDE OF THESE OCCASIONAL REMINDERS WE COULD SEE NO EVIDENCE OF THE DESOLATION OF THE TRACK OF AN INVADING ARMY,,"En dehors de ces rappels occasionnels, nous ne pouvions voir aucune preuve de la désolation de la piste d'une armée envahissante",5694-64038-0003 ,"5694-64038-0003 En dehors de ces rappels occasionnels, nous ne pouvions voir aucune preuve de la désolation de la piste d'une armée envahissante"
5694-64038-0004 WE SAW THE UNITED STATES FLAG FLYING FROM THE RAMPARTS AND THOUGHT THAT YANK WOULD PROBABLY BE ASLEEP OR CATCHING LICE OR MAYBE ENGAGED IN A GAME OF SEVEN UP,WE SAW THE UNITED STATES FLAG FLYING FROM THE RAMPARTS AND THOUGHT THAT YANK WOULD PROBABLY BE ASLEEP OR CATCHING LICE OR MAYBE ENGAGED IN A GAME OF SEVEN UP,,Nous avons vu le drapeau américain voler des remparts et pensé que Yank dormait probablement ou attraperait des poux ou peut-être engagé dans un jeu de sept,5694-64038-0004 ,5694-64038-0004 Nous avons vu le drapeau américain voler des remparts et pensé que Yank dormait probablement ou attraperait des poux ou peut-être engagé dans un jeu de sept
5694-64038-0005 HE WALKED UP AND SAYS HELLO BOYS WHAT IS IT BOSS,HE WALKED UP AND SAYS HELLO BOYS WHAT IS IT BOSS,,Il est monté et dit bonjour les garçons qu'est-ce que c'est le patron,5694-64038-0005 ,5694-64038-0005 Il est monté et dit bonjour les garçons qu'est-ce que c'est le patron
5694-64038-0006 A YANKEE ALWAYS SAYS NAGER,A YANKEE ALWAYS SAYS NAGER,,Un Yankee dit toujours Nager,5694-64038-0006 ,5694-64038-0006 Un Yankee dit toujours Nager
5694-64038-0007 THEY PERSUADED ELOQUENTLY,THEY PERSUADED ELOQUENTLY,,Ils ont persuadé avec éloquence,5694-64038-0007 ,5694-64038-0007 Ils ont persuadé avec éloquence
5694-64038-0008 A MAN IN THE WELL,A MAN IN THE WELL,,Un homme dans le puits,5694-64038-0008 ,5694-64038-0008 Un homme dans le puits
5694-64038-0009 THE VOICE APPEARED TO BE OVERHEAD,THE VOICE APPEARED TO BE OVERHEAD,,La voix semblait être au-dessus,5694-64038-0009 ,5694-64038-0009 La voix semblait être au-dessus
